Administrative,Product,Information,BounceRate,ExitRate,PageValue,VisitorType,Weekend,Purchase
2,8,6,0.202015,0.4711,58.807,New_Visitor,0,0
4,7,4,0.647757,0.311906,74.0248,Returning_Visitor,0,0
0,0,3,0.554968,0.270013,118.925,Returning_Visitor,0,1
2,14,10,0.66398,0.063952,103.649,Returning_Visitor,0,1
2,17,9,0.16974,0.535502,26.3298,Returning_Visitor,1,0
0,15,1,0.609649,0.456473,8.85538,New_Visitor,0,0
0,4,10,0.776611,0.774146,20.2115,Returning_Visitor,0,0
1,13,7,0.367586,0.660128,1.23392,Returning_Visitor,0,0
4,10,8,0.0978422,0.412994,1.39313,Returning_Visitor,1,0
2,10,6,0.911711,0.742538,43.3108,Returning_Visitor,0,1
1,16,5,0.113865,0.20337,26.4019,Returning_Visitor,0,0
5,11,1,0.623301,0.0358227,100.153,New_Visitor,0,0
2,3,7,0.271766,0.418083,6.97307,Returning_Visitor,1,0
1,11,2,0.340812,0.207825,10.9183,New_Visitor,0,0
1,14,1,0.982922,0.810077,8.18543,Returning_Visitor,0,0
4,0,3,0.445245,0.312215,36.5275,Returning_Visitor,0,0
1,4,4,0.376938,0.936119,84.9083,Returning_Visitor,1,0
3,17,3,0.916679,0.141323,9.05848,New_Visitor,0,0
3,4,9,0.893477,0.633269,119.16,Returning_Visitor,0,0
0,18,8,0.46983,0.965554,206.898,Returning_Visitor,1,1
0,14,7,0.740811,0.899181,41.4688,Returning_Visitor,0,0
4,0,8,0.123697,0.739311,28.9251,Returning_Visitor,0,0
1,7,5,0.845604,0.704918,116.441,Returning_Visitor,0,0
1,19,7,0.64787,0.141339,110.691,Returning_Visitor,1,1
2,5,2,0.0932894,0.431612,18.9412,Returning_Visitor,1,0
3,10,4,0.732739,0.805069,165.733,Returning_Visitor,0,1
0,13,5,0.788736,0.407372,59.2103,Returning_Visitor,1,0
5,20,1,0.17988,0.167504,70.9593,New_Visitor,0,0
4,2,4,0.0797087,0.858026,12.679,Returning_Visitor,1,0
4,10,8,0.143155,0.977461,15.8925,Returning_Visitor,0,0
4,3,7,0.435512,0.836198,1.08243,New_Visitor,0,0
5,18,9,0.111453,0.512858,31.865,Returning_Visitor,1,1
1,7,1,0.329861,0.109354,96.915,New_Visitor,0,1
1,0,6,0.132287,0.751292,2.79604,Returning_Visitor,1,0
2,1,10,0.777535,0.816951,2.63246,Returning_Visitor,0,0
2,15,1,0.568778,0.00902231,34.2685,Returning_Visitor,1,0
4,7,10,0.0240225,0.247902,6.55886,New_Visitor,0,0
0,10,9,0.284782,0.182296,4.34809,Returning_Visitor,0,0
4,8,4,0.755679,0.861506,13.7271,Returning_Visitor,0,0
4,13,8,0.649537,0.824378,12.4839,Returning_Visitor,0,0
2,17,0,0.67943,0.4194,124.482,Returning_Visitor,1,1
3,17,8,0.770836,0.988409,26.3459,Returning_Visitor,1,0
3,10,8,0.0884744,0.823976,31.4822,Returning_Visitor,1,1
0,8,9,0.768655,0.92006,32.4867,New_Visitor,0,0
4,13,1,0.146392,0.282639,164.503,Returning_Visitor,0,1
0,14,10,0.00105731,0.896325,154.534,Returning_Visitor,1,0
5,19,1,0.271358,0.12941,19.8923,Returning_Visitor,0,1
3,11,2,0.168416,0.461519,88.3389,Returning_Visitor,0,0
4,14,0,0.00501351,0.904198,24.5681,Returning_Visitor,0,0
0,12,2,0.419872,0.765061,67.7199,Returning_Visitor,0,0
5,3,6,0.0557299,0.84052,32.1435,Returning_Visitor,1,0
0,19,9,0.190914,0.419974,141.356,Returning_Visitor,1,1
1,20,4,0.838356,0.366356,60.1271,Returning_Visitor,0,1
5,19,1,0.0422332,0.672914,63.3974,Returning_Visitor,0,1
4,9,3,0.971448,0.460782,0.252225,New_Visitor,0,0
0,5,0,0.531559,0.480262,5.50397,Returning_Visitor,0,0
5,18,10,0.788286,0.49219,12.9661,Returning_Visitor,0,0
1,2,3,0.651662,0.303825,182.392,Returning_Visitor,0,1
1,14,3,0.533817,0.810021,3.29176,New_Visitor,1,0
0,11,7,0.879473,0.93497,126.666,New_Visitor,1,0
0,6,3,0.440522,0.954544,46.5617,Returning_Visitor,1,1
1,16,7,0.0137255,0.592448,105.437,Returning_Visitor,0,0
4,7,9,0.979011,0.733774,10.0596,Returning_Visitor,0,0
1,0,2,0.490197,0.425599,45.4695,Returning_Visitor,0,0
0,12,0,0.327308,0.548756,45.0474,Returning_Visitor,0,0
4,19,0,0.348137,0.188273,29.8164,Returning_Visitor,0,0
1,1,2,0.635984,0.578543,44.6121,New_Visitor,0,0
2,13,10,0.284063,0.274951,43.0039,New_Visitor,0,0
5,14,4,0.74722,0.764257,18.4417,Returning_Visitor,1,0
4,16,9,0.749652,0.328544,153.203,Returning_Visitor,0,0
2,17,1,0.182831,0.470809,91.3084,New_Visitor,0,0
5,9,6,0.896075,0.323476,9.84775,New_Visitor,1,0
0,15,10,0.323783,0.25989,7.19263,Returning_Visitor,1,0
4,15,0,0.568809,0.0569371,14.1704,Returning_Visitor,0,0
5,5,3,0.524381,0.825513,79.2463,Returning_Visitor,0,0
2,10,4,0.6502,0.711647,16.5661,New_Visitor,0,0
4,20,10,0.193195,0.817827,53.7676,Returning_Visitor,0,0
5,17,2,0.298166,0.448224,1.81345,Returning_Visitor,1,0
4,14,10,0.280183,0.844568,18.3642,New_Visitor,0,0
4,4,9,0.193087,0.935667,15.6117,New_Visitor,0,1
0,11,3,0.755462,0.0702939,114.184,Returning_Visitor,0,0
3,16,10,0.317454,0.0492748,2.08237,New_Visitor,0,0
2,0,3,0.569736,0.930603,29.6841,Returning_Visitor,0,0
0,4,3,0.0535566,0.35155,97.7758,New_Visitor,0,0
0,12,10,0.165217,0.424844,6.55797,New_Visitor,0,0
2,3,8,0.585538,0.298355,0.183671,Returning_Visitor,0,0
3,5,4,0.906605,0.495355,41.5826,New_Visitor,0,0
4,9,0,0.153873,0.013567,217.169,Returning_Visitor,0,1
0,0,4,0.952911,0.340251,21.6011,Returning_Visitor,1,0
4,2,8,0.110095,0.982304,8.22248,New_Visitor,0,0
3,12,8,0.843891,0.58304,101.507,Returning_Visitor,0,1
4,7,2,0.215959,0.583189,1.60202,New_Visitor,0,0
3,14,0,0.727912,0.894388,130.914,Returning_Visitor,0,0
0,18,6,0.0930186,0.799041,116.152,New_Visitor,0,1
2,14,9,0.961424,0.977176,19.5931,Returning_Visitor,0,0
1,16,7,0.735213,0.0529604,28.4,Returning_Visitor,0,1
1,16,3,0.45375,0.907303,199.713,Returning_Visitor,0,1
3,16,4,0.657582,0.190612,0.492008,Returning_Visitor,1,0
2,10,9,0.918395,0.187618,38.0224,Returning_Visitor,1,0
0,5,1,0.102641,0.797192,63.593,New_Visitor,1,0
4,0,2,0.751793,0.0333411,86.2157,Returning_Visitor,0,0
4,14,2,0.105662,0.693983,12.7527,Returning_Visitor,0,1
4,11,0,0.507581,0.84449,19.0917,New_Visitor,0,0
2,17,3,0.450518,0.870776,20.0638,New_Visitor,0,0
0,1,4,0.730091,0.154363,70.2458,Returning_Visitor,0,0
5,13,3,0.681862,0.561932,26.1233,Returning_Visitor,1,0
4,0,0,0.635368,0.753642,111.682,Returning_Visitor,0,0
3,1,10,0.82416,0.4848,27.4006,Returning_Visitor,0,0
4,18,2,0.802078,0.944286,5.33308,Returning_Visitor,0,1
3,6,10,0.908586,0.0936723,79.3096,Returning_Visitor,0,1
1,6,7,0.218461,0.74657,100.41,Returning_Visitor,1,1
0,0,2,0.879745,0.869994,27.8915,Returning_Visitor,0,0
0,5,0,0.620066,0.278058,64.0819,New_Visitor,0,0
1,14,5,0.972725,0.145433,6.66633,Returning_Visitor,0,0
3,4,10,0.202135,0.74539,23.6781,New_Visitor,0,0
2,10,4,0.496086,0.468149,10.8584,Returning_Visitor,1,0
5,18,7,0.0681051,0.714574,39.4931,New_Visitor,0,0
1,10,9,0.978201,0.735763,136.011,New_Visitor,0,0
0,14,1,0.558748,0.853052,32.8737,Returning_Visitor,0,0
0,5,6,0.416837,0.77102,27.6332,Returning_Visitor,0,1
1,3,6,0.0192859,0.336277,21.9762,Returning_Visitor,0,0
1,16,2,0.489879,0.808596,120.327,Returning_Visitor,0,0
1,15,7,0.900158,0.705971,2.85298,Returning_Visitor,1,0
4,2,3,0.0729507,0.772942,0.772052,Returning_Visitor,0,0
2,16,9,0.652008,0.725867,18.302,Returning_Visitor,0,1
5,5,10,0.347758,0.557277,78.1357,New_Visitor,1,0
2,14,8,0.823033,0.637189,11.1365,Returning_Visitor,0,0
1,16,0,0.990788,0.860367,45.8555,Returning_Visitor,0,0
0,12,0,0.396617,0.66851,4.89395,Returning_Visitor,0,0
2,11,3,0.312117,0.700338,52.6433,Returning_Visitor,0,0
2,5,6,0.767094,0.0629744,1.83107,New_Visitor,1,0
2,16,0,0.148597,0.557063,19.4369,New_Visitor,0,0
3,8,9,0.992255,0.895853,116.604,Returning_Visitor,1,1
0,16,0,0.683698,0.447371,54.1037,Returning_Visitor,0,0
4,10,7,0.0418865,0.997058,36.3856,Returning_Visitor,1,0
2,8,5,0.0447597,0.526133,2.83501,Returning_Visitor,0,1
0,6,0,0.665113,0.232559,16.6007,Returning_Visitor,0,1
0,4,0,0.928836,0.782286,36.1162,New_Visitor,1,0
2,10,0,0.978506,0.110812,12.3978,Returning_Visitor,0,0
1,1,10,0.550839,0.995344,32.2152,New_Visitor,1,0
3,14,1,0.599785,0.779613,2.25235,Returning_Visitor,0,1
1,12,3,0.526595,0.131522,31.4957,Returning_Visitor,0,0
5,1,10,0.375156,0.645178,10.9222,Returning_Visitor,0,0
5,12,3,0.179836,0.81727,16.0943,Returning_Visitor,0,0
3,7,6,0.847448,0.768292,15.274,Returning_Visitor,0,0
0,19,9,0.0467663,0.990206,84.4602,Returning_Visitor,0,0
0,10,6,0.252293,0.13276,68.1107,Returning_Visitor,0,1
1,9,10,0.513572,0.255423,109.982,Returning_Visitor,0,1
3,14,9,0.210464,0.238506,10.2476,New_Visitor,0,0
0,11,3,0.685202,0.0536682,114.071,Returning_Visitor,0,1
1,4,10,0.753829,0.0359355,100.505,Returning_Visitor,0,1
1,13,5,0.697575,0.305305,75.0518,New_Visitor,0,0
0,5,1,0.159092,0.977758,14.631,New_Visitor,0,0
4,20,2,0.830936,0.131446,17.9633,Returning_Visitor,0,1
2,2,0,0.40944,0.234675,57.6408,Returning_Visitor,0,1
3,14,0,0.975589,0.607762,66.6766,Returning_Visitor,0,1
5,3,9,0.94007,0.630267,11.838,Returning_Visitor,1,1
0,5,6,0.649886,0.954357,0.83949,New_Visitor,1,0
0,8,6,0.0627266,0.552955,106.47,New_Visitor,0,1
5,11,7,0.596635,0.645776,9.21196,New_Visitor,1,0
5,13,9,0.411923,0.800327,48.9345,Returning_Visitor,0,0
2,8,3,0.155125,0.508869,28.1974,Returning_Visitor,1,1
